,sum_sq,df,F,PR(>F)
C(partisan),0.0002683807456189066,1.0,196.8728536120966,4.969765356987613e-44
C(policy),2.350601420087818e-05,2.0,8.621512847543388,0.00018243150618164653
C(partisan):C(policy),2.1254394007848368e-05,2.0,7.79566580022605,0.00041570092988909635
Residual,0.008171132584938989,5994.0,,
