,sum_sq,df,F,PR(>F)
C(partisan),303.7500000000785,1.0,23.976115558963155,1.0009518783004984e-06
C(policy),3748.3959999999765,2.0,147.93740848844686,1.93635692245888e-63
C(partisan):C(policy),24.255999999985793,2.0,0.9573080806546821,0.383983682608416
Residual,75937.13400000002,5994.0,,
