,sum_sq,df,F,PR(>F)
C(partisan),6.0370812617126136e-05,1.0,0.06329718042159131,0.8013671479623028
C(policy),2.283275314830128,2.0,1196.9765130672529,0.0
C(partisan):C(policy),0.010326313193151485,2.0,5.413431432686612,0.004478136780006315
Residual,5.716884202690631,5994.0,,
