,sum_sq,df,F,PR(>F)
C(partisan),0.007953413887842103,1.0,1125.7231242581443,2.5022737070604066e-226
C(policy),8.80876773143684e-05,2.0,6.233947881585632,0.0019744342899688525
C(partisan):C(policy),8.231866903721097e-05,2.0,5.825676281916954,0.0029675412551715334
Residual,0.04234856850359372,5994.0,,
